subjectID,sessionIdx,eventNumber,onsetTime,peakTime,offsetTime,duration,amplitude,direction,peakVelocity,strength,onsetIndex,peakIndex,offsetIndex,absAmplitude,absPeakVelocity,timeSincePrevious,passQC
FLIC_0015,4,8,14.041,14.0765,14.1015,0.0604999999999993,-4.46650271250922,-1,-125.704280554852,561.458510072268,28083,28154,28204,4.46650271250922,125.704280554852,1.317,1
FLIC_0015,4,9,15.385,15.416,15.462,0.077,-4.08379423281876,-1,-93.2600588189023,380.854890356972,30771,30833,30925,4.08379423281876,93.2600588189023,1.344,1
FLIC_0015,4,10,16.822,16.842,16.882,0.0600000000000023,4.49015878671332,1,122.805396312683,551.415729309205,33645,33685,33765,4.49015878671332,122.805396312683,1.437,1
FLIC_0015,4,11,18.124,18.1435,18.181,0.0570000000000022,2.8569847889555,1,83.6452944788237,238.973333993703,36249,36288,36363,2.8569847889555,83.6452944788237,1.302,1
FLIC_0015,4,12,20.1425,20.158,20.199,0.0565000000000033,-7.85655604351135,-1,-341.217478225197,2680.79424070187,40286,40317,40399,7.85655604351135,341.217478225197,2.0185,1
FLIC_0015,4,13,22.107,22.138,22.1655,0.0585000000000022,2.92535091252976,1,72.3244044812444,211.57426264738,44215,44277,44332,2.92535091252976,72.3244044812444,1.9645,1
FLIC_0015,4,14,22.3655,22.4125,22.455,0.0894999999999975,-5.27776445702899,-1,-98.6889028887775,520.856783969576,44732,44826,44911,5.27776445702899,98.6889028887775,0.258500000000002,1
FLIC_0015,4,15,22.883,22.9065,22.96,0.0770000000000017,3.8275313265732,1,80.8267856365014,309.367054049926,45767,45814,45921,3.8275313265732,80.8267856365014,0.517499999999998,1
FLIC_0015,4,16,23.194,23.233,23.2965,0.102500000000003,6.0593329312338,1,104.473840003145,633.04177918351,46389,46467,46594,6.0593329312338,104.473840003145,0.311,1
FLIC_0015,4,17,23.6495,23.666,23.726,0.0764999999999993,2.38004105423655,1,93.5576429165903,222.671031079088,47300,47333,47453,2.38004105423655,93.5576429165903,0.455500000000001,1
FLIC_0015,4,18,24.2925,24.306,24.371,0.0784999999999982,2.65359243890659,1,94.240890687682,250.076914964655,48586,48613,48743,2.65359243890659,94.240890687682,0.643000000000001,1
FLIC_0015,4,19,24.855,24.8785,24.8905,0.035499999999999,-1.86195885619381,-1,-81.2524386913457,151.288697808696,49711,49758,49782,1.86195885619381,81.2524386913457,0.5625,1
FLIC_0017,1,1,4.605,4.6305,4.708,0.103,-4.24612306850613,-1,-59.1132248635207,251.002027746785,9211,9262,9417,4.24612306850613,59.1132248635207,NaN,1
